,pais,Edad,Educacion,Corrupcion,Democracia,Sexo,Satisfaccion,Economia,Educacion_Niveles,Gini,Cor.politic,PIB
1,Argentina,58,6,3,2,Hombre,1,3,Básica,42.27999878,0.526629627,15102.61035
2,Argentina,53,7,3,2,Hombre,3,3,Media/secundaria,42.27999878,0.526629627,15102.61035
3,Argentina,39,7,4,3,Hombre,1,3,Media/secundaria,42.27999878,0.526629627,15102.61035
4,Argentina,66,6,3,2,Hombre,1,3,Básica,42.27999878,0.526629627,15102.61035
5,Argentina,38,5,5,3,Mujer,2,3,Básica,42.27999878,0.526629627,15102.61035
6,Argentina,27,11,4,3,Hombre,1,3,Media/secundaria,42.27999878,0.526629627,15102.61035
7,Argentina,50,6,5,3,Mujer,2,3,Básica,42.27999878,0.526629627,15102.61035
8,Argentina,25,10,3,4,Mujer,1,3,Media/secundaria,42.27999878,0.526629627,15102.61035
9,Argentina,26,13,4,3,Mujer,1,3,Educación superior/postgrados,42.27999878,0.526629627,15102.61035
10,Argentina,30,7,3,3,Mujer,2,3,Media/secundaria,42.27999878,0.526629627,15102.61035
11,Argentina,63,7,2,1,Hombre,2,3,Media/secundaria,42.27999878,0.526629627,15102.61035
12,Argentina,51,5,4,3,Mujer,4,3,Básica,42.27999878,0.526629627,15102.61035
13,Argentina,21,9,4,4,Mujer,2,3,Media/secundaria,42.27999878,0.526629627,15102.61035
14,Argentina,31,10,4,2,Hombre,2,3,Media/secundaria,42.27999878,0.526629627,15102.61035
15,Argentina,39,12,3,2,Hombre,1,3,Media/secundaria,42.27999878,0.526629627,15102.61035
16,Argentina,57,7,5,2,Mujer,1,3,Media/secundaria,42.27999878,0.526629627,15102.61035
17,Argentina,30,17,4,2,Mujer,1,3,Educación superior/postgrados,42.27999878,0.526629627,15102.61035
18,Argentina,27,9,4,3,Mujer,1,2,Media/secundaria,42.27999878,0.526629627,15102.61035
19,Argentina,32,6,5,3,Hombre,4,3,Básica,42.27999878,0.526629627,15102.61035
20,Argentina,52,0,3,3,Mujer,1,3,Sin estudios,42.27999878,0.526629627,15102.61035
